
S0-T0, S0-T1, S0-T2, S0-T3, S0-T4, S0-T5, S0-T6, S0-T7, S0-T8, S0-T9, S0-T10, S0-T11, S0-T12, S0-T13, S0-T14, S0-T15, S0-T16, S0-T17, S0-T18, S0-T19, S0-T20, S0-T21, S0-T22, S0-T23, S0-T24, S0-T25, S0-T26, S0-T27, S0-T28, S0-T29, S1-T0, S1-T1, S1-T2, S1-T3, S1-T4, S1-T5, S1-T6, S1-T7, S1-T8, S1-T9, S1-T10, S1-T11, S1-T12, S1-T13, S1-T14, S1-T15, S1-T16, S1-T17, S1-T18, S1-T19, S1-T20, S1-T21, S1-T22, S1-T23, S1-T24, S1-T25, S1-T26, S1-T27, S1-T28, S1-T29, 

look (0.00412465420086529), phone (0.003909823700155632), set (0.004110149934826182), would (0.004140158370239385), dont (0.004051992549001041), even (0.004019263498187921), time (0.003946301444624073), fit (0.004042684563675805), audio (0.004039522945222642), frequenc (0.004064781238932836), fit (0.004072506042274806), even (0.0037514490771144017), high (0.003975670992722786), dont (0.0039012834205678884), audio (0.0038687179629417062), price (0.003751316788587036), price (0.0038688075268961276), set (0.003995562153452141), frequenc (0.003922702998063621), would (0.004052392003175432), even (0.0038682044300738286), work (0.0038873038223407345), even (0.003801471816707948), much (0.0039106493649206766), earphon (0.004006484862331882), fit (0.0040509866296052546), earphon (0.004046301765391111), would (0.004021484303724426), high (0.003920029130632497), would (0.004215915447153303), much (0.004699698090816739), amazon (0.004214670466680621), first (0.004608569042952503), price (0.004462621038852568), even (0.004899766305174563), bose (0.004588213949892116), bass (0.004629789535336023), wireless (0.004618071357512497), pair (0.004724104556010255), read (0.0045851487496536515), read (0.0048139052879377624), review (0.004984648175119274), time (0.004782071260808815), replac (0.00464754317632334), like (0.005263704515681935), last (0.004929072446621331), old (0.004274983694236548), star (0.0048675551958951725), first (0.004682655629446803), like (0.004346720995547562), earpiec (0.004437160819832619), two (0.004719009402789905), like (0.004884579651736205), much (0.00435155015218824), price (0.004418730055427871), nois (0.0048458603106840805), purchas (0.005707788487199471), bad (0.004846718400787454), poor (0.004900371680202728), well (0.004965747922558496), 

better (0.0041196144766121896), volum (0.0037942106306139093), much (0.003977258247921086), phone (0.004089421134053859), volum (0.004042205127146297), much (0.003990485954547715), even (0.0038889701873677826), phone (0.003972811001573277), fit (0.003941432981893157), audio (0.004000552188546135), earphon (0.003935779217399683), audio (0.0037514490771144017), dont (0.003928001075588185), cord (0.0038692180764977623), cord (0.003809717905563597), much (0.00370556902174549), earphon (0.0038601717956145967), much (0.003986313166769557), even (0.0037829392299336692), phone (0.004052392003175432), look (0.003729060382456076), high (0.0036997584583365814), much (0.0037626812869664805), audio (0.0039106493649206766), even (0.003915428386097607), time (0.003921206734581498), even (0.004026515448201273), bluetooth (0.003925734675351836), fit (0.003744196684730551), much (0.0039397637742187835), first (0.004699698090816739), piec (0.004210764373656734), set (0.004601356879182496), pair (0.004439676952154023), nois (0.004895923348195636), piec (0.004577485459963693), music (0.004618733314919567), bought (0.004577885065651407), plastic (0.004414326940795074), earpiec (0.004581821353371322), volum (0.004797573110258434), headset (0.004976209149744339), cheap (0.004475382362301758), phone (0.004608524587139106), earbud (0.00503620770922523), tri (0.0049165700355313525), seem (0.004042453061417565), seem (0.004859305095351197), earphon (0.004682655629446803), get (0.004335489151094051), would (0.004425144127012021), much (0.00471464398764818), read (0.0045529984552452095), month (0.004341979287065491), know (0.00410608381514898), week (0.00457204197802213), earphon (0.005683541276763441), differ (0.0048128252387825985), tri (0.004831073424827886), echo (0.004655878731601694), 

time (0.004113134831143918), make (0.003762679793466167), realli (0.003834874297665625), cord (0.0039980941089199145), fit (0.003963905752308348), dont (0.0039041533236270996), much (0.003831638930111492), much (0.00376319031526569), make (0.003843343018563672), set (0.003982201031292793), make (0.0039064806120693), realli (0.0037418790537118982), fit (0.0038993991253074255), set (0.0038478411804510116), phone (0.0037338606889345993), even (0.00370556902174549), fit (0.003834264601770005), audio (0.0038383293798482146), set (0.0037363513072236855), look (0.003936055387832795), frequenc (0.0036826790332501586), earphon (0.0036827088797907496), time (0.0037529836545311134), set (0.0037230171936359106), set (0.003833477557486759), even (0.003893396757076407), fit (0.003967156496631756), much (0.003751644441947127), earphon (0.003713167429571384), soni (0.003893738495396363), review (0.004699698090816739), earphon (0.004202952187608961), cabl (0.004601356879182496), part (0.004141403825072937), seem (0.00489208039121671), phone (0.004570333133344744), review (0.004610441149607225), listen (0.004571187350341226), bass (0.004410250919542243), would (0.004578493957088993), star (0.004797573110258434), well (0.0049480790651612256), order (0.004475382362301758), piec (0.004266028082077493), even (0.004751836701154349), first (0.004635265786006831), cabl (0.004037342498058906), never (0.0048510549948072215), bought (0.004678988707523256), design (0.004169819445404767), set (0.0044221399538068714), hour (0.00471464398764818), custom (0.004228548037173376), poor (0.004105897947371012), made (0.00410608381514898), year (0.00457204197802213), review (0.005664143508414616), earphon (0.004793995704335457), time (0.0048211736740600515), call (0.004628421967846027), 

earphon (0.0040731770174229085), even (0.0037521695144169193), time (0.0037779207175634407), earphon (0.003916914531023074), make (0.0038464566900514234), want (0.003750673090879338), earphon (0.0038029733014833464), even (0.0034337863796394825), much (0.003816591210382903), much (0.0037619871442526784), much (0.0038478834014085326), dont (0.0037131689835043884), set (0.0038803311584535856), fit (0.0038478411804510116), time (0.0036495748926801577), high (0.003604923934694089), audio (0.0038083574079254127), make (0.003782835459752711), time (0.0036804457999717053), even (0.0037712451827640586), time (0.0036270214142030575), even (0.0036741840905178333), earphon (0.00373358838966038), time (0.0037131418161998704), high (0.003651364605018208), review (0.0038099668245611348), make (0.003897904386467321), look (0.003621076766893595), realli (0.0036924812594652727), fit (0.003866123328102911), well (0.004699698090816739), audio (0.004195140001561187), month (0.004561689978447458), head (0.004122283752824149), review (0.004884394477258857), month (0.004570333133344744), replac (0.004604913039398997), back (0.004567838492686135), know (0.004406174898289411), tri (0.004578493957088993), still (0.004793490065838601), bluetooth (0.004908696946744866), need (0.004456450948813668), wireless (0.004253021885682748), disappoint (0.004504433924132681), month (0.004591507347191906), design (0.0040271213713415875), high (0.004475675420056344), nois (0.0046716548636761635), poor (0.004169819445404767), better (0.0044101232609862736), back (0.004684086081656103), want (0.004200024923496731), seem (0.004089946505499764), buy (0.004092188426692141), cabl (0.004568439105223946), could (0.0052470914889148935), bud (0.004793995704335457), get (0.004717226290997788), got (0.004608809993734838), 

realli (0.003941064245930925), set (0.003720638677269177), even (0.0037114748741108924), high (0.0037647028224664985), earphon (0.0037192202059397553), fit (0.0037410805763326027), audio (0.0037934180919406315), look (0.003423804442196264), look (0.003718501247053418), look (0.0036885825152393067), realli (0.00379905239252456), high (0.0036557488430893686), make (0.003775457340757465), even (0.0036447606680068793), much (0.003607431994552937), earphon (0.0035134284010109973), much (0.0036097355884502076), frequenc (0.0037550884997049594), phone (0.0036804457999717053), bluetooth (0.0037227715930379596), fit (0.0035342587157912225), set (0.003571886619242841), make (0.0036269144328713436), make (0.003604512664403427), cord (0.0036422589573947804), much (0.003791426839557741), much (0.0038484385934927246), dont (0.0035949632318828884), volum (0.0036614520043061053), high (0.0038016879377515233), month (0.004683671826205033), well (0.004187327815513414), bad (0.004284021673302194), purchas (0.004118459738374392), month (0.004845964907469589), realli (0.004566756970035271), month (0.004585564653670197), could (0.004283185592003421), realli (0.004389870813278086), nois (0.004545219994265698), replac (0.004773074843739441), replac (0.004661152202413467), headset (0.004445092100720815), bought (0.004231344891691507), devic (0.004487371663648428), phone (0.00455400011392197), earbud (0.003996457991189634), call (0.004475675420056344), set (0.004667987941752617), disappoint (0.004169819445404767), price (0.004401110741370825), dont (0.004675355251372653), realli (0.004185763366658408), doesnt (0.004086756217125514), bought (0.004088714579577931), right (0.004568439105223946), dont (0.005222844278478863), bought (0.0047864638905566), cost (0.004405384141811), first (0.004600965204090361), 

much (0.0037499147046169095), high (0.003657577002973692), make (0.0036260445039576162), audio (0.0037139655862809735), much (0.003660495674811293), time (0.003587600343584841), dont (0.0037360868346843407), volum (0.0033639128175369537), dont (0.003620411283723933), realli (0.0036151778862259353), even (0.003769753787194177), earphon (0.0035026284686493154), even (0.0037277874236228653), look (0.003634072219983504), even (0.003599003414927493), around (0.0034859797409060697), make (0.0035579212007610236), earphon (0.003625602686148785), hear (0.0035872699545517373), much (0.0036258244135857613), set (0.0034971536364264886), make (0.0035207378836053446), cord (0.0035202404760823077), look (0.0035452603997871853), make (0.003596730719277643), high (0.0037821568470560443), head (0.0035813233114299027), time (0.003586258720212653), even (0.00357870732388166), set (0.0037096373801066835), disappoint (0.004363146533970905), soni (0.004183421722489528), didnt (0.00425877910010717), left (0.004110811709474877), make (0.004534685392176527), music (0.0045488761534879), problem (0.0043782605208616395), old (0.0042764878766932395), got (0.004389870813278086), last (0.004269046102832357), would (0.004768991799319608), make (0.004427672500373624), phone (0.004426160687232725), cord (0.004209667897700265), purchas (0.0044731531132448845), design (0.004322705508757364), problem (0.003794590738522605), plastic (0.004455050168696406), would (0.004645986410211339), ive (0.004152971678724501), right (0.004389094048550227), month (0.004666624421089202), earbud (0.004175067199029666), week (0.004045282468260268), music (0.0040748191911210915), bought (0.004554027614031213), better (0.0052179948363916566), right (0.004782697983667172), purchas (0.004375684889507496), would (0.004589198019623647), 

volum (0.0037481148030979452), much (0.0035840050496289597), dont (0.003597567713906524), dont (0.0035211640887759777), realli (0.0036213459873923183), around (0.00347249016902402), high (0.0036214243201717596), high (0.003353930880093735), time (0.0035936594755431642), high (0.0035968267289725924), set (0.0037306889800869988), time (0.0034547783516367986), cord (0.003680117506488265), make (0.003634072219983504), frequenc (0.0034810033001712744), make (0.0034676806341694512), volum (0.003532014006916432), bluetooth (0.003597855726101033), make (0.0034847765245897733), high (0.003548266670024003), want (0.0034229434776970203), realli (0.0035036883050595124), want (0.003462054681470106), littl (0.0035353850223511446), time (0.00353299118591365), earphon (0.0037636168620526506), high (0.003531857518455306), set (0.0035427361618614755), make (0.0035683642388286045), even (0.0036359969339908116), faulti (0.004359139967817978), isol (0.0038592160015069395), cancel (0.00425877910010717), noth (0.003781946466795731), buy (0.004488569908429406), fit (0.004212716802397322), transmitt (0.004361676190236955), buy (0.004263092446072876), dont (0.004349110600749773), got (0.004262391310267698), like (0.004736327443960951), plastic (0.0044192334749986895), tri (0.0044223744045351066), buy (0.004209667897700265), could (0.004470309403164176), start (0.004310203097667385), doesnt (0.0037920354568432755), first (0.004446800068152431), isol (0.004356299578251175), never (0.004144547795384368), month (0.004389094048550227), phone (0.004627335684813674), could (0.004175067199029666), earbud (0.004042092179886018), tri (0.004071345344006882), day (0.0042297690621946925), surround (0.004791243932717522), year (0.004771400262998886), could (0.004375684889507496), week (0.004577430835156934), 

dont (0.0036848782630649977), time (0.0035209433753334747), cord (0.0033412766034466948), realli (0.003480574299827558), audio (0.0035919837218280873), make (0.0034245275962903445), want (0.0035354274342873234), realli (0.0033239850677640797), volum (0.0035669076673623956), fit (0.0035784755717192494), high (0.0036916241729798207), cord (0.0033877881878192754), look (0.003651515556207505), volum (0.003602006875913378), realli (0.0034725747205458304), littl (0.0034402319740645237), even (0.0034888353505087783), even (0.0035793577527358654), earphon (0.003410235848253799), make (0.003499793080297904), high (0.0034136672078558367), hear (0.003435489990876184), set (0.003452357049034739), realli (0.0035255096449151044), dont (0.003469251652549657), volum (0.003531867049510228), time (0.00347249856688579), volum (0.0035340316501912402), time (0.0035269918986163815), rang (0.0035899716551683917), custom (0.0043471202693591985), fit (0.00383577944336362), start (0.00425877910010717), break (0.0037781224523459733), set (0.0041388608233470766), bass (0.004205564475778374), volum (0.0043478559147163845), set (0.004253045873107604), doesnt (0.004010800836764773), differ (0.004259063913985369), amazon (0.0044219330236338695), buy (0.004413607458082067), year (0.004418588121837488), soni (0.004209667897700265), set (0.004467465693083467), listen (0.004285198275487428), give (0.003789480175163946), price (0.004442675017880443), got (0.004315963437092165), right (0.004133315950930857), poor (0.004163781058164014), design (0.004308660379467728), music (0.004153674863772183), dont (0.004026140738014769), poor (0.0037830160335274605), receiv (0.004222563316598325), well (0.004718502301409431), earbud (0.00440987320161376), make (0.004336085886436158), problem (0.0042714840390223685), 

earbud (0.0035434060036743987), look (0.0033948200267425043), want (0.0032273694432423264), even (0.003480574299827558), high (0.0035919837218280873), littl (0.0034149350817436093), make (0.0034780961770310326), earphon (0.003304021192877643), even (0.0035401558591816266), make (0.0034224907350658353), hear (0.0036134945587654645), look (0.003378218164416772), littl (0.003603845639072905), high (0.003473745499632873), make (0.003464146140920386), time (0.0033944842072229776), cord (0.0034629281566641865), realli (0.003523863832640362), audio (0.003400918263711802), time (0.0034900983623526844), make (0.00339511466817347), much (0.003418440412330352), volum (0.003442659416599372), high (0.003515634267479064), hear (0.003423723414432519), soni (0.00346697710199835), come (0.0034230327739111933), realli (0.0035340316501912402), want (0.0034235610480858247), time (0.00351633120905252), bass (0.00432308087244164), feel (0.0038318733503397333), right (0.004255173018222167), connect (0.003766650408996701), bass (0.004131174909389223), bought (0.004198412149159426), disappoint (0.0041046190655543435), well (0.004246348157797422), headset (0.004010800836764773), bit (0.00425240912142071), bud (0.004405600845954541), design (0.004132306612250931), nois (0.004411015556442252), year (0.004192326302507272), realli (0.004458934562841341), earpiec (0.004022647642597875), volum (0.00376903792172931), amazon (0.0040672954431295654), listen (0.004268293452086062), back (0.004127700028704101), back (0.004151764365343416), channel (0.004308660379467728), phone (0.004110890193257216), listen (0.00401976016126627), give (0.0037760683392990407), tri (0.004208151825405591), like (0.004611814575490897), phone (0.0043533845982723345), problem (0.003920296354187106), right (0.004247949670088941), 

even (0.003534526489514175), audio (0.003363289189594762), ive (0.0032178771798919625), look (0.003226888118899932), time (0.0035724088781186), high (0.003366972509009934), cord (0.003392099291146597), dont (0.0032740753805479876), high (0.0035401558591816266), dont (0.003413315156439164), want (0.0034963001374439303), make (0.003359078117611765), audio (0.003565709705365225), want (0.0034203032595159963), volum (0.0033377174465387236), want (0.00336703554711805), realli (0.0034370209628195943), dont (0.003486867885910026), realli (0.003335695171917825), dont (0.0034416247726265854), realli (0.003367285858649919), look (0.00340139083378452), high (0.0034232641517286384), dont (0.0034662573802988626), around (0.0032780330524576785), set (0.0034113571469881684), want (0.003274635394987403), even (0.0035166226268507693), audio (0.003402874877979713), trebl (0.0033874604283497443), earbud (0.004319074306288713), also (0.0038201550712680735), bit (0.004251566936337163), charger (0.003766650408996701), year (0.00412348899543137), peopl (0.0038872859412351687), star (0.004099090955346115), month (0.004242999300142332), old (0.00400264879425911), make (0.004225789951162074), dont (0.0043851856238553795), price (0.004132306612250931), know (0.0041081129406328135), month (0.004161978510919534), listen (0.004444716012437796), headset (0.004010145231507897), replac (0.003753706231653333), bass (0.0040301699906816766), music (0.004264626530162516), month (0.004063116923096415), first (0.00412472680649707), bose (0.004308660379467728), ive (0.0038506167809578325), one (0.003968715547278274), cost (0.0037691206450706206), bad (0.003923524874349091), hope (0.0043014502819097074), read (0.004078473395344062), disappoint (0.003920296354187106), design (0.0042401048804444645), 

make (0.0034528109605531927), ive (0.003258186399102287), look (0.0031988926531912342), make (0.0031862983299515116), hear (0.0035332591906996253), come (0.0032710473635425828), littl (0.0033729888720611667), cord (0.0032441295682183323), realli (0.003397479548884194), time (0.003321559370172449), look (0.0034767677338903417), set (0.0032250977899767187), time (0.003537107755084465), audio (0.003409614811492621), hear (0.0032787173891606143), volum (0.0033304373336448135), around (0.0034024780376934716), high (0.0034683699125448585), littl (0.0032704720801238476), head (0.0034319300546813655), earphon (0.0033301807792851853), time (0.003375816465965772), ive (0.003345683092245703), want (0.0033773789833744998), audio (0.0032780330524576785), look (0.0033186572219711997), look (0.003244955919202645), earphon (0.0034818045801698273), hear (0.003340816367661379), earphon (0.00337825537258526), return (0.00431106117398286), return (0.0038201550712680735), return (0.004251566936337163), bud (0.003739882307848398), week (0.004115803081473517), amazon (0.0038872859412351687), differ (0.0040825066247214305), poor (0.003978439545390162), enough (0.00400264879425911), output (0.003949616059728733), tri (0.004381102579435548), first (0.0041266805953343085), ive (0.004089181527144724), surround (0.0038628359938404043), radio (0.004217219205981091), run (0.004010145231507897), week (0.0037383745415773563), back (0.0040301699906816766), poor (0.0039932743078200834), problem (0.003891831295180375), return (0.004121722633291921), return (0.004291198718900826), make (0.0038434860025386712), headset (0.003780488533197541), think (0.003762172950842201), cord (0.0038766875279727044), call (0.004296600839822501), end (0.00405964386089692), bass (0.003870797600347933), differ (0.00420872572186656), 

bluetooth (0.0033498565936684317), realli (0.003216145282905297), littl (0.003151431336439414), volum (0.0031457085410030914), look (0.003288573644331033), ive (0.003251862334449113), look (0.003334768033890306), want (0.0032042018184454584), head (0.003352893201916246), want (0.003303208212919106), head (0.003427936725006369), head (0.0031485376027566916), earphon (0.0033464280865460644), ive (0.003345484123352369), dont (0.0032702888095351703), cord (0.0033212877802765045), want (0.003393842306411941), want (0.003412875992449355), look (0.0032611544955818508), want (0.003354372311119607), cord (0.0033209045094440017), soni (0.003375816465965772), realli (0.003335985459810336), differ (0.0033576282285024193), look (0.0032416104619639686), dont (0.003290847244466109), realli (0.003185596967633129), cord (0.003211964718392528), littl (0.0033304732826083235), make (0.0032677947034114524), back (0.004307054607829933), right (0.0038123428852203), better (0.004237142608797149), first (0.0037360582933986405), disappoint (0.003804523566180454), hope (0.0038837097779256943), seem (0.0040825066247214305), room (0.003975090687735072), earphon (0.0039985727730062785), know (0.003939633870881745), nois (0.004323939957557896), piec (0.0038650708087113518), return (0.004081608961749488), call (0.003845494398647411), bose (0.003915785937425957), give (0.004010145231507897), model (0.0035339520072309974), fit (0.004017794839865713), wast (0.0039932743078200834), want (0.003866559645159976), phone (0.004106701767266173), soni (0.00427810247347565), know (0.0038434860025386712), end (0.0037772982448232915), got (0.003758699103727991), better (0.003865878909578154), realli (0.004282052513560883), music (0.004055877954007491), better (0.003870797600347933), return (0.00420872572186656), 

hear (0.0032226635529949504), hear (0.0032056350038560497), volum (0.0031229545463883216), littl (0.0031254136465288813), around (0.0032689988006215456), volum (0.0031751222180752318), realli (0.003334768033890306), hear (0.003144310193786148), cord (0.003174547814044455), bit (0.003275681477039092), cord (0.003310742303684835), differ (0.003091117462341672), speaker (0.0032701562191307042), realli (0.003345484123352369), high (0.003253431650284282), audio (0.003293839120171577), hear (0.003272942068470512), look (0.0033758800457190192), nice (0.0031959314037878737), realli (0.003257425131667409), audio (0.003200313001508616), fit (0.0031882711019616187), around (0.0033068925625042355), nice (0.0031206191700374514), littl (0.0031778709285999757), realli (0.003235227289455928), audio (0.0031361311746585323), high (0.003194555695052057), nice (0.0032891009423961005), look (0.0031481289784731606), tri (0.0042870217770653), hear (0.003804530699172527), audio (0.004237142608797149), even (0.003732234278948883), design (0.003792994695243674), make (0.00388013361461622), plastic (0.004079742569617316), hour (0.0039449509688392545), music (0.003974116645489291), high (0.003939633870881745), problem (0.004042209892589473), right (0.0038622578002530405), replac (0.00407782267905187), fall (0.0038324882022526662), piec (0.0039129422273452485), doesnt (0.003994517217645423), transmitt (0.0035339520072309974), return (0.004017794839865713), know (0.003971272776278806), piec (0.003858135761819843), nois (0.0040886767280352765), right (0.00427810247347565), day (0.003829224445700349), turn (0.003770917668074792), volum (0.0037482775623853613), price (0.00386227603677997), hear (0.004277203071473677), buy (0.004055877954007491), back (0.0038658477249640154), replac (0.004169501773644181), 

come (0.003220863651475986), come (0.0031846144457575547), product (0.002990062859483225), come (0.002952907043498096), cord (0.0032494239569120583), audio (0.0031751222180752318), come (0.0032678815670913004), head (0.003114364381456493), nice (0.0031388787364700966), bluetooth (0.0032206280052790633), audio (0.0032716774965776568), want (0.0030815474389391685), ive (0.003193884351715344), head (0.0031851574030017384), look (0.0032028601725316167), ive (0.0032297922465934123), high (0.0032297634120628587), nice (0.0032833901788931804), want (0.00317729623470388), volum (0.0032186462598865298), littl (0.0031168265729379645), volum (0.003179746312688703), earbud (0.0032777996651981345), cord (0.003110743792601411), volum (0.0031414483381062655), make (0.0032166873044525337), earbud (0.0031064516988737745), want (0.0031684421600413504), dont (0.003247728602183878), connect (0.0031021036996507407), purchas (0.004275002078606521), music (0.003777188048005321), back (0.004233536526912146), look (0.0037207622355996104), first (0.0037699369533701135), wear (0.0038694051246877977), right (0.004074214459409088), head (0.00392485782290871), could (0.003974116645489291), right (0.003922996889470098), poor (0.004042209892589473), earbud (0.0038566317833364176), listen (0.004047532417470926), long (0.0038324882022526662), return (0.003910098517264539), set (0.003988266012100433), howev (0.003526286162193009), pair (0.003993044538233788), much (0.003963938932431713), could (0.0038497118784797096), disappoint (0.0038663679108542123), volum (0.004273737058333925), replac (0.0038185282780716073), howev (0.003770917668074792), day (0.0037482775623853613), listen (0.003833453054394502), wireless (0.004277203071473677), wire (0.004048346140228635), set (0.0038460482234283465), delay (0.0038792445567985678), 

want (0.003195665030210485), cord (0.0031635938876590597), nice (0.0029710783327824967), right (0.002952907043498096), want (0.003210274269493083), tri (0.0031751222180752318), around (0.0031914398907495795), audio (0.003114364381456493), come (0.0031210441976829177), littl (0.0031563989548923635), ive (0.003203314084140095), frequenc (0.0030241272985241483), bluetooth (0.0030794765505923033), case (0.003131715162884861), plug (0.0031775744336552843), realli (0.0030468011792272286), bit (0.003186584755655205), volum (0.003218647272115093), volum (0.0031493434810778895), earphon (0.003141088516324771), head (0.0030333401443673126), dont (0.0031626967341428706), come (0.003258404400327401), bit (0.0030613669054212096), come (0.003105025747612555), cord (0.0032166873044525337), case (0.0030273064301144198), head (0.003046578996658054), look (0.0031856700918655436), realli (0.003046873365063837), poor (0.0039664964848311725), nois (0.0036639113503126094), replac (0.004222718281257136), wire (0.0037207622355996104), differ (0.0037699369533701135), hour (0.0038694051246877977), purchas (0.004060394183888517), return (0.0038947181040128935), listen (0.003949660517972303), year (0.003916342096905439), plug (0.004021794670490313), connect (0.003851005766419795), right (0.004047532417470926), cheap (0.0038194820058579217), connect (0.003907254807183831), better (0.003969512395465466), piec (0.0035211755988343502), problem (0.0036754156672907374), earbud (0.003952938166661073), nois (0.0038328641117994435), piec (0.0038603595644439133), differ (0.0042693716431922), listen (0.003786439775185382), earphon (0.0037645370913262925), earbud (0.0037448037152711514), know (0.003541620357741634), nois (0.004243256976863234), turn (0.004048346140228635), still (0.003841098348044429), lot (0.003867477372331854), 

ive (0.0031035100724395095), littl (0.0031005322133635747), earbud (0.002952093806081769), want (0.002932612149023886), head (0.0031613371602193644), realli (0.0031655297035284966), tri (0.003181884681206864), tri (0.003044490819353964), plug (0.003049706042534201), come (0.003147223376265692), earbud (0.0031740154788097116), tri (0.0029954172283166384), plug (0.0030508746003115434), hear (0.0030782729227679844), bluetooth (0.0031270029559026195), nice (0.0030285020724906105), come (0.003169313293092144), littl (0.0031724023387021735), bluetooth (0.0031307083119938963), differ (0.0030829202086534524), hear (0.003024063874526129), ive (0.003094498419959542), look (0.0032099162381505663), volum (0.0030317407731130885), head (0.0030959200999891275), bit (0.003086907409428777), cord (0.0030174132715195005), make (0.0029682383916259346), frequenc (0.003175327006812488), wear (0.002954822807418997), made (0.003950470220219466), cheap (0.003464700606094393), look (0.003894564829721823), bass (0.0037054661778005804), side (0.0037699369533701135), plastic (0.0038658289613783233), phone (0.004038281743055604), dont (0.003871276100427258), seem (0.003611350753987303), better (0.00390635990805845), cabl (0.004013628581650649), radio (0.003603461022088395), poor (0.0037484160843591057), earphon (0.003810811208261425), design (0.0038930362567802866), dont (0.0039570099843754866), bass (0.0035109544721170323), neg (0.0036754156672907374), make (0.003941937400890434), make (0.0038328641117994435), bose (0.003857355391238764), also (0.004265006228050474), nois (0.003782874385975801), purchas (0.003761346802952043), cancel (0.0037413298681569416), feel (0.003534414612145267), month (0.004160816461380731), like (0.003935368933545783), cord (0.0038361484726605116), made (0.0038635549775096157), 

cord (0.0031003902431399714), want (0.0029849191438218524), high (0.0029331092793810406), plug (0.002922464701786781), come (0.003112400050945646), earphon (0.0031559371889817614), volum (0.0031245534239505734), nice (0.0029845991946946537), bluetooth (0.002915947001630357), volum (0.003128872219012349), around (0.0031544830752561225), littl (0.0029667071581091285), frequenc (0.0029841367163231033), nice (0.0030462075786978583), littl (0.0029415742041428478), hear (0.0030285020724906105), devic (0.003065684517713776), hear (0.0031446553786544217), around (0.0030375324665739283), bit (0.0030344466189273535), ive (0.0030147876046849455), cord (0.0029666265808658016), differ (0.0030256612218785943), earphon (0.0030317407731130885), realli (0.0030959200999891275), plug (0.0030312874544185958), around (0.002948161161355065), hear (0.0029595338799556993), come (0.0031649839217594324), volum (0.0029456177516545127), got (0.00393444395560776), old (0.003460794513070506), still (0.003894564829721823), tri (0.0036825220911020353), still (0.003766093996391187), better (0.00381218651173621), howev (0.0038116292245182477), bad (0.0036469026375361775), made (0.00360319871148164), like (0.0038631037563881684), howev (0.004013628581650649), new (0.0035978350051717725), point (0.0037446298016614874), receiv (0.003810811208261425), buy (0.003887348836618869), car (0.0037007105570309234), last (0.0035083991904377027), plug (0.003667165566746762), money (0.0036265821154654455), earpiec (0.003596995378275717), hear (0.0038423345252130165), earbud (0.004256275397767024), warranti (0.0035261663628859984), light (0.003758156514577793), audio (0.0037413298681569416), amazon (0.003534414612145267), problem (0.0038407532836251296), extrem (0.0037244781477377927), wrong (0.0034302586911792946), realli (0.003851787793042902), 

littl (0.0030861110244228543), tri (0.0029849191438218524), come (0.0029141247526803127), head (0.002912317254549676), product (0.003024313254252953), still (0.003127159645341556), hear (0.003009890909437992), ive (0.0029546533823649984), want (0.0028981124628431783), product (0.0030646431686256487), differ (0.003144716873479328), volum (0.0029379970879016186), come (0.002965068749469263), still (0.003035519130674483), feel (0.0029331456245174034), look (0.003019352519122301), differ (0.0030484130551507145), still (0.002978173618367911), soni (0.003009579712947938), hear (0.002956888875365595), product (0.0030147876046849455), littl (0.0028899034774095573), hear (0.0029868706921371267), head (0.0030021146408049674), want (0.0030139692713782797), want (0.002994207484411808), bit (0.0029283748441652265), connect (0.002872488763253344), product (0.003113268496494154), earbud (0.0029456177516545127), connect (0.003930437389454833), item (0.0034568884200466194), much (0.0038801405021818094), bad (0.0034071930507194943), never (0.0037622510394122602), poor (0.0035403981002161693), still (0.00380610111431002), disappoint (0.0036469026375361775), hear (0.0035991226902288087), problem (0.0036235312240604505), decid (0.004013628581650649), devic (0.003580956954421904), stereo (0.0037219121054757795), fit (0.0038064758094631767), poor (0.0036598520301621635), bud (0.0036944593514859343), dont (0.003505843908758373), order (0.003667165566746762), wireless (0.0036045805839241673), return (0.003588571494935584), even (0.003839330352007867), plug (0.004238813737200123), start (0.003486947081580612), right (0.003758156514577793), littl (0.003734382173928522), got (0.0035308117393470836), featur (0.0038407532836251296), make (0.0037131804270695073), star (0.0034104591896436253), turn (0.003851787793042902), 

